index,name,active_fla,address_st,activity,activity_l,program__1,mpca_id_li,industrial,shape,geometry
4434,Urban ResearchandOutreach/Engagement Ctr,N,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00028529,,0101000020E6100000FFEBDCB4995357C056D3F544D77E4640,POINT (475858.58507994586 4981989.887855072)
4435,Minneapolis Police 4th Precinct,Y,1925 Plymouth Ave N,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MND985741354,Police Protection,0101000020E61000005C04C6FA865357C095AAA399DD7E4640,POINT (475948.7659762398 4982011.009901622)
4436,MCDA Site No 4,Y,1256 Penn Ave N,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0014849,,0101000020E610000072214553AC5357C0F98381E7DE7E4640,POINT (475769.103715931 4982016.110420136)
4437,THOR P3,Y,1256 Penn Ave.,Construction Stormwater,Construction Stormwater,Stormwater,C00045473,,0101000020E6100000DBDC989EB05357C039252026E17E4640,POINT (475748.47201655817 4982023.798314426)
4438,Twin City Sign Co,Y,1201 Dupont Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985757145,,0101000020E610000033DDEBA4BE5257C046E40522D57E4640,POINT (476912.52345226007 4981978.747525885)
4439,7th St N & Van White Memorial Blvd Int Imps,N,See Location Description,Construction Stormwater,Construction Stormwater,Stormwater,C00030051,,0101000020E6100000D712F241CF5257C09FCDAACFD57E4640,POINT (476832.6005164662 4981981.336511685)
4440,The Publishing Group Inc,Y,1200 N 7th St,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MN0000995019,,0101000020E6100000EE3C96E3BA5257C0152C1F93D67E4640,POINT (476930.6084435416 4981983.570061881)
4441,Engineering Unlimited,Y,1320 12th Ave N,Industrial Stormwater,Industrial Stormwater,Stormwater,A00021686; MNRNE346P; MNRNE382Q; MNRNE382S,Switchgear and Switchboard Apparatus Manufacturing,0101000020E6100000397F130A115357C083A10E2BDC7E4640,POINT (476516.18676573294 4982004.0434533525)
4442,Humboldt Ave Park Site,Y,1401 Plymouth Ave N,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0016445; PB3598; VP28930,,0101000020E61000005FA1C508175357C080FFF7F1E17E4640,POINT (476487.4160235914 4982023.734239436)
4443,Precise Products Corp,Y,1201 Plymouth Ave N,Multiple Activities,"Hazardous Waste, Very small quantity generator; Industrial Stormwater",Hazardous Waste; Stormwater,MND982643595; MNRNE33DS; MNRNE3897,Precision Turned Product Manufacturing ; Other Motor Vehicle Parts Manufacturing,0101000020E6100000B9E6A79BF85257C00258918FE57E4640,POINT (476633.8485008765 4982035.454266159)
4444,Cooperative Printing Association,Y,1225 N 7th St SE,Industrial Stormwater,Industrial Stormwater,Stormwater,MNRNE36FK,,0101000020E6100000D6F8F13CDD5257C0C6CD5FD7E57E4640,POINT (476765.53485962667 4982035.924689032)
4445,Time Warner Cable,Y,801 Plymouth Ave N,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0016838; TS0020819,,0101000020E61000001BAB8372915257C07EA59828E77E4640,POINT (477130.1967121208 4982039.074040961)
4446,Cooperative Printing Property,Y,1101 Plymouth Ave N,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0019230; PB4418; VP30580,,0101000020E6100000B1169F02E05257C0784485EAE67E4640,POINT (476752.21061359305 4982039.616887466)
4447,Southern Graphic Systems Inc,N,1001 Plymouth Ave N,Multiple Activities,Hazardous Waste; Industrial Stormwater,Hazardous Waste; Stormwater,A00011481; MND049518566,Support Activities for Printing,0101000020E61000004807DAD3C45257C0FDF50A0BEE7E4640,POINT (476883.08000811795 4982063.303545989)
4448,Estes Funeral Chapel Parking Lot,Y,2201 Plymouth Ave N,Multiple Activities,"Brownfields, Petroleum Brownfield; Petroleum Remediation, Leak Site",Investigation and Cleanup,BF0000653; LS0000967,,0101000020E61000002F21934AC05357C07AE74815E27E4640,POINT (475673.0835149117 4982027.252198992)
4449,Hennepin Cty 4th Precinct Police Stat,N,1925 Plymouth Ave N,Industrial Stormwater,Industrial Stormwater,Stormwater,A00016106,,0101000020E61000001165B9B6815357C03122F6AEE67E4640,POINT (475974.21708859457 4982041.707872501)
4450,Plymouth Avenue townhomes and apartments renovation,Y,"1300 Irving Ave N 1405, 1414, 1500, 1501, 1516, 1611, 1701, 1815 Plymouth Ave N, 1234 Logan Ave N",Construction Stormwater,Construction Stormwater,Stormwater,C00043934,,0101000020E6100000003DAAED285357C052A06881EA7E4640,POINT (476401.43074298877 4982053.07220238)
4451,Former Texaco Service Station,Y,1421 23 Plymouth Ave N,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0007114,,0101000020E6100000B420B5051B5357C0D424BA5FEC7E4640,POINT (476468.3591579429 4982059.159491046)
4452,Plymouth Avenue Apartments,Y,See Location Description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP4380; VP4381,,0101000020E6100000C4C72FD52F5357C03876BB24EF7E4640,POINT (476368.270601049 4982068.918313647)
4453,Previous Service Station,Y,1822 Plymouth Ave N,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0003794,,0101000020E61000007C54B252775357C0A995534CEF7E4640,POINT (476024.31894279644 4982070.724776311)
4454,Plymouth Avenue  Redevelopment,Y,See location description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP22460,,0101000020E610000011F3595C6B5357C07A2C0992EF7E4640,POINT (476081.8752884726 4982071.432084048)
4455,Friendship Manor,Y,1710 Plymouth Ave N,Multiple Activities,Aboveground Tanks; Underground Tanks,Tanks,TS0002078,,0101000020E6100000E90DF7915B5357C0F29881CAF87E4640,POINT (476157.96364689706 4982102.406778907)
4456,NorthPoint Inc,N,1315 Penn Ave N,Multiple Activities,Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MNS000191221; TS0130453,Voluntary Health Organizations,0101000020E6100000112A8249BB5357C028F4FA93F87E4640,POINT (475697.45028115984 4982103.420707416)
4457,Pilot City,Y,1350 Penn Ave N,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0008120,,0101000020E6100000240151CDB85357C0D45A3DCC037F4640,POINT (475709.5515081508 4982141.41144068)
4458,Print Technologies Inc,Y,911 Plymouth Ave N,"Hazardous Waste, Small quantity generator","Hazardous Waste, Small quantity generator",Hazardous Waste,MND049521271,,0101000020E6100000DB60F250A55257C02265D531F87E4640,POINT (477034.81126648805 4982097.171288027)
4459,Emerson & Fremont Ave Bike and Pedestrian Improvements,Y,,Construction Stormwater,Construction Stormwater,Stormwater,C00049799,,0101000020E6100000586FD40AD35257C0F73B1405FA7E4640,POINT (476814.83761839493 4982104.153821745)
4460,TreeTrust - Emerson Site,Y,1014 Plymouth Ave N,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP28920,,0101000020E610000089809E61C55257C034C5D276027F4640,POINT (476880.6666598331 4982132.542665208)
4461,MCDA Site No 5,Y,1026 Plymouth Ave N,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0014850,,0101000020E61000001083AF9EC95257C0A5A88EB0037F4640,POINT (476860.28949944495 4982136.771186751)
4462,BASF Corporation,N,1301 Bryant Ave N,Multiple Activities,Industrial Stormwater; Underground Tanks,Stormwater; Tanks,A00001113; TS0001943; TS0002728,,0101000020E61000001648F542A65257C02DA006C2047F4640,POINT (477030.41640995856 4982139.778437454)
4463,MPHA - 1301 Bryant,Y,1301 Bryant Ave N,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MND055473136,General Warehousing and Storage,0101000020E6100000E1A76043A65257C09E4143FF047F4640,POINT (477030.41144848923 4982140.589401594)
4464,Flint Ink - 1,Y,1301 Bryant Ave N,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP10490,,0101000020E6100000E1A76043A65257C07A23A93B057F4640,POINT (477030.4143295766 4982141.389228673)
4465,Minneapolis Schools Nut Center,Y,812 Plymouth Ave N,Multiple Activities,"Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MNR000032920; TS0002359,Educational Services,0101000020E6100000C8E07206905257C0E8644E3C0C7F4640,POINT (477137.4895570139 4982164.744577941)
4466,Minneapolis Schools Franklin,Y,1501 Aldrich Ave N,Multiple Activities,"Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MNR000032755; TS0002311,Educational Services,0101000020E61000008B8E3FAC925257C09CC65114437F4640,POINT (477125.41837798955 4982350.716700536)
4467,Hall Minneapolis Schools,Y,1601 Aldrich Ave N,Multiple Activities,"Hazardous Waste, Very small quantity generator; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0008778; MNR000006452; TS0002324,Educational Services,0101000020E61000003A4030478F5257C054D0A398727F4640,POINT (477142.32802665123 4982511.745678206)
4468,Pierce Photography,Y,917 N 5th St,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP10580,,0101000020E6100000088893452B5257C061A92EE0657E4640,POINT (477620.24707973143 4981599.049610664)
4469,GlassArt Design Inc,Y,427 10th Ave N,Multiple Activities,"Air Quality; Hazardous Waste, Very small quantity generator; Industrial Stormwater",Air Quality; Hazardous Waste; Stormwater,05301261; MNRNE3CZV; MNS000223495,Glass Product Manufacturing Made of Purchased Glass,0101000020E6100000EEEBC039235257C0F5DBD781737E4640,POINT (477659.1235414345 4981645.126256358)
4470,EIG Property Management,Y,1012 N 5th St,Multiple Activities,Hazardous Waste; Solid Waste,Hazardous Waste; Solid Waste,MND985763390; SW-gen,"All Other Professional, Scientific, and Technical Services",0101000020E6100000D58C56FF315257C04CD3B194767E4640,POINT (477588.085428571 4981655.795240873)
4471,Cord Sets Inc.,Y,1015 N 5th St,Multiple Activities,"Hazardous Waste, Minimal quantity generator; Industrial Stormwater",Hazardous Waste; Stormwater,MNRNE36WR; MNS000306960,All Other Electrical Equipment and Component Manufacturing,0101000020E6100000989647ED345257C034A55071777E4640,POINT (477574.0006033721 4981658.766307944)
4472,Sign Service Inc,Y,1016 N 5th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND086581667,,0101000020E6100000F8318BF5325257C0F29B1D04787E4640,POINT (477583.4751139454 4981660.677092088)
4473,Cord-Sets Inc,N,1015 5th St N,"Wastewater, Industrial NPDES/SDS Permit","Wastewater, Industrial NPDES/SDS Permit",Water Quality,MNG255060,"Electrical Machinery, Equipment, and Supplies, Not Elsewhere Classified",0101000020E6100000A19119B9385257C0E0BA6246787E4640,POINT (477555.7452486124 4981661.652081885)
4474,The Salvation Army Adult Rehab Center,Y,900 4th St N,Multiple Activities,"Aboveground Tanks; Hazardous Waste, Very small quantity generator; Petroleum Remediation, Leak Site; Solid Waste; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Solid Waste; Tanks,LS0021384; MND079715611; TS0002977,Used Car Dealers ; Vocational Rehabilitation Services ; General Automotive Repair,0101000020E61000000E8A62C9075257C00C56DE867F7E4640,POINT (477791.28818845213 4981685.4136113785)
4475,Former Warehouse Building,N,800 N 3rd St,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Hazardous Waste",Hazardous Waste; Investigation and Cleanup,MNS000181305; VP25660,Lessors of Nonresidential Buildings (except Miniwarehouses),0101000020E610000022A7AFE7EB5157C08E0244C18C7E4640,POINT (477925.5953444284 4981729.7932222625)
4476,Third North Apartments,Y,800 N 3rd St,Underground Tanks,Underground Tanks,Tanks,TS0125804,,0101000020E6100000063BB47EE95157C0B2BE81C98D7E4640,POINT (477937.203451263 4981733.252391862)
4477,Bassett Creek,N,901 3rd St N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000102186,,0101000020E6100000235D7D86015257C086EBAC71917E4640,POINT (477821.6256076108 4981746.050185448)
4478,Cardinal Packaging Inc,Y,834 N 7th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND006247274,Rubber and Miscellaneous Plastics Products,0101000020E610000078FF69B4665257C03DF8E4BC5A7E4640,POINT (477334.14853713446 4981562.299605387)
4479,904 Thru 912 Lyndale Ave N,Y,904 Thru 912 Lyndale Ave N,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0010880,,0101000020E6100000EA645F68645257C05C2041F1637E4640,POINT (477345.3117446919 4981593.464727308)
4480,Minneapolis Bus Garage,Y,812 N 7th St,Construction Stormwater,Construction Stormwater,Stormwater,C00056056,,0101000020E610000016BF29AC545257C0003961C2687E4640,POINT (477421.08022596507 4981609.526404724)
4481,Sparkle Wash,N,1000 Lyndale Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985765676,,0101000020E6100000893952C7745257C0DF4F8D976E7E4640,POINT (477266.6710748091 4981629.8478966225)
4482,Former Ragstock Building,Y,843 N 7th St,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0017899; TS0125258,,0101000020E610000077D03648525257C0D82AC1E2707E4640,POINT (477432.67933745735 4981637.035328587)
4483,Ragstock Building Sites,Y,See Location Description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP25180,,0101000020E610000069FF03AC555257C00D384BC9727E4640,POINT (477416.39183588023 4981643.536028994)
4484,MDS Inc,Y,1010 Lyndale Ave N,Multiple Activities,Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MND980617476; TS0013014,Lessors of Nonresidential Buildings (except Miniwarehouses),0101000020E61000005FE8B6E9745257C0958BE722747E4640,POINT (477266.09165508987 4981648.646118596)
4485,Fire Station #4,Y,1101 6th St N,Underground Tanks,Underground Tanks,Tanks,TS0001564,,0101000020E6100000636D4210565257C0C190D5AD9E7E4640,POINT (477415.03474662267 4981792.343748862)
4486,Handicabs Inc,N,1068 N 6th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND044797041,,0101000020E6100000D6D5D3FD525257C05430CFEFA07E4640,POINT (477429.8424567794 4981799.945390444)
4487,Mid State Manufacturing Corp,Y,1115 Aldrich Ave N,Multiple Activities,Hazardous Waste; Industrial Stormwater,Hazardous Waste; Stormwater,A00021755; MN0000061598,"Electrical Machinery, Equipment, and Supplies, Not Elsewhere Classified",0101000020E61000004D2D5BEB8B5257C0F5DFDE90A17E4640,POINT (477155.9477878933 4981803.052159165)
4488,729 Washington Ave S Property,Y,729 Washington Ave N,"Brownfields, Petroleum Brownfield","Brownfields, Petroleum Brownfield",Investigation and Cleanup,PB4088,,0101000020E6100000F3E505D8C75157C0E178E349777E4640,POINT (478098.8518242654 4981656.422754231)
4489,Scherer Printing Corp,Y,740 Washington Ave N Ste B,Multiple Activities,Hazardous Waste; Industrial Stormwater,Hazardous Waste; Stormwater,A00022846; MND985753821,,0101000020E6100000269C27E8C05157C0675EB3017D7E4640,POINT (478132.2956103066 4981675.6930613145)
4490,701 Associates LLC,Y,701 2nd St N,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Construction Stormwater; Hazardous Waste",Hazardous Waste; Investigation and Cleanup; Stormwater,C00032905; MNS000172916; PB3988; VP27530,Lessors of Nonresidential Buildings (except Miniwarehouses),0101000020E61000003D9B559FAB5157C08351499D807E4640,POINT (478234.7472080618 4981687.573898988)
4491,753 Washington,Y,753 Washington Ave N,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP32270,,0101000020E6100000F0124141CE5157C0539F9A81807E4640,POINT (478068.11248797085 4981687.777385183)
4492,A & P Partnership WG Anderson,Y,718 Washington Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985667856,,0101000020E6100000E1FBD126BD5157C0996D0267847E4640,POINT (478150.44967514725 4981700.703555962)
4493,Bicycle Factory Inc The,Y,718 Washington Ave N Ste 404,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000042473,,0101000020E610000081C58613BD5157C0C81FB182847E4640,POINT (478150.81355420424 4981701.068902447)
4494,Korstar Inc - Washington Ave,N,718 Washington Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000077990,Institutional Furniture Manufacturing,0101000020E610000081C58613BD5157C0F8D15F9E847E4640,POINT (478150.8148103178 4981701.435489561)
4495,Soho Project,Y,718 Washington Ave N,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0016560; PB4353; VP30200,,0101000020E61000000A92883ABD5157C0F8D15F9E847E4640,POINT (478150.08168141125 4981701.437997808)
4496,Level 3 Communications,Y,715 N 2nd St,Multiple Activities,"Aboveground Tanks; Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Investigation and Cleanup; Tanks,BF0000173; LS0016157; TS0124834,,0101000020E6100000AB7A9673AB5157C0B2AE5D1C8D7E4640,POINT (478235.71401748614 4981729.935236881)
4497,Commercial Legal Printing Co Inc,Y,730 Washington Ave N Ste B2,Industrial Stormwater,Industrial Stormwater,Stormwater,MNRNE35CB,,0101000020E61000005367A494C65157C093CDB0AC8F7E4640,POINT (478105.2136058107 4981739.0728623895)
4498,Poucher Printing,Y,730 Washington Ave N Main Flr,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000128157,,0101000020E61000005367A494C65157C087C3D2C08F7E4640,POINT (478105.21452126 4981739.339471215)
4499,Commercial Legal Printing,Y,730 Washington Ave N Ste B2,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985759828,,0101000020E61000003520E7A2C65157C07BB9F4D48F7E4640,POINT (478104.9474126794 4981739.6069989465)
4500,Precision Associates,Y,740 N Washington Ave Ste 300,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Hazardous Waste; Industrial Stormwater",Hazardous Waste; Investigation and Cleanup; Stormwater,MND006261614; MNRNE34VG; MNRNE3C5M; VP27040,"Gasket, Packing, and Sealing Device Manufacturing",0101000020E61000007CD887CCC75157C092A494A5907E4640,POINT (478099.3630824014 4981742.3889135495)
4501,NRG - North Riverfront Plant,Y,801 N 2nd St,Air Quality,Air Quality,Air Quality,05300385,Steam and Air-Conditioning Supply,0101000020E610000068B3EA73B55157C0742497FF907E4640,POINT (478187.6384707891 4981743.278775045)
4502,Riverside Industries Inc,Y,701 S 1st St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND039577564,,0101000020E61000002AB39CDF8B5157C038763F5D937E4640,POINT (478387.7218211899 4981750.619093711)
4503,Precision Associates,Y,740 Washington Ave N,Multiple Activities,"Aboveground Tanks; Brownfields, Petroleum Brownfield; Petroleum Remediation, Leak Site; Site Assessment; Underground Tanks",Investigation and Cleanup; Tanks,LS0018664; PB3912; SA0001189; TS0122484,,0101000020E6100000596F2FC4C55157C0AF923424937E4640,POINT (478109.1718356608 4981750.812437356)
4504,Washington Avenue Corridor,Y,N Washington Ave Btwn Plymouth Ave N & Hennepin,"Brownfields, Petroleum Brownfield","Brownfields, Petroleum Brownfield",Investigation and Cleanup,PB3315,,0101000020E6100000A19DD32CD05157C073BC02D1937E4640,POINT (478059.0987194915 4981753.272694276)
4505,Smart Set Inc,N,740 Washington Ave N Ste 101,Industrial Stormwater,Industrial Stormwater,Stormwater,A00021576,Support Activities for Printing,0101000020E6100000B8431E1CC75157C0BAB07FE8937E4640,POINT (478102.7166647384 4981753.434034443)
4506,Tractorworks,Y,800 Washington Ave N Ste 120,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000324872,Lessors of Other Real Estate Property,0101000020E61000004CE84726D45157C00CE38F1E967E4640,POINT (478040.00292083836 4981761.145617192)
4507,Itasca Mercantile Building,N,708 1st St N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000191916,Lessors of Other Real Estate Property,0101000020E6100000225D22CD8E5157C09154F0259E7E4640,POINT (478373.7588176517 4981787.22551871)
4508,Jacobs Trading Co,Y,901 N 3rd St Ste 200,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND160388732,,0101000020E6100000235D7D86015257C086EBAC71917E4640,POINT (477821.6256076108 4981746.050185448)
4509,Third North Apartments,N,800 N 3rd St,Multiple Activities,"Construction Stormwater; Wastewater, Industrial NPDES/SDS Permit",Stormwater; Water Quality,C00034325; MNG790192,,0101000020E6100000E010AAD4EC5157C0DFA63FFB917E4640,POINT (477921.2027573602 4981747.52699755)
4510,McKesson Corp,Y,800 3rd St N,Multiple Activities,"Brownfields, Petroleum Brownfield; Hazardous Waste",Hazardous Waste; Investigation and Cleanup,MNS000119222; PB3804,,0101000020E61000005FB4C70BE95157C0B870C56A987E4640,POINT (477939.4880844685 4981769.281557953)
4511,Twin City Wholesale Drug/krelitz,N,900 3rd St N,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0002230; TS0013273,,0101000020E610000058816B38F65157C0D3CDB4B39E7E4640,POINT (477876.1746134729 4981790.807327966)
4512,North Loop Paving,Y,,Construction Stormwater,Construction Stormwater,Stormwater,C00053376,,0101000020E61000003DD175E1075257C0AC3B16DBA47E4640,POINT (477791.2764419451 4981811.964403306)
4513,Fast Horse Office Building,Y,240 9th Ave N,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0019426; PB4521; VP31060,,0101000020E61000003EB4EACEEE5157C086E3F90CA87E4640,POINT (477911.94707845274 4981822.377008605)
4514,Flo Pac Corp Flour City Brush Co,Y,918 N 3rd St,Multiple Activities,Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MND006261101; TS0123033,"Broom, Brush, and Mop Manufacturing",0101000020E61000006CD33318FE5157C0FD9D9218A97E4640,POINT (477838.4113915685 4981826.175493547)
4515,All Safe Inc,Y,915 Washington Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000001164,Other Miscellaneous Durable Goods Merchant Wholesalers ; Testing Laboratories,0101000020E6100000F883262EEC5157C0E968B004AD7E4640,POINT (477924.64964681736 4981839.1740812175)
4516,Brunsfield Place,Y,915 Washington Ave N,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,PB4106; VP28220,,0101000020E6100000F883262EEC5157C0E968B004AD7E4640,POINT (477924.64964681736 4981839.1740812175)
4517,Norwest Retail Services,Y,915 Washington Ave N,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0007864,,0101000020E61000001CE7DB27EC5157C0E363C10EAD7E4640,POINT (477924.7683523822 4981839.306976911)
4518,NRG Energy Center Mpls - N Riverfront,Y,801 2nd St N,Multiple Activities,"Aboveground Tanks; Underground Tanks; Wastewater, Industrial NPDES/SDS Permit",Tanks; Water Quality,MN0056995; TS0017467,Steam and Air-Conditioning Supply,0101000020E61000007D259012BB5157C0C0E6C182A07E4640,POINT (478160.77971072635 4981795.959777429)
4519,Oexning Silversmiths,Y,800 Washington Ave N Ste 118,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000117119,,0101000020E6100000DB19A6B6D45157C01C052DC9A67E4640,POINT (478037.4841892981 4981817.656028532)
4520,Color Express Cimarron - Mpls,N,800 Washington Ave N Ste 124,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000023184,,0101000020E6100000BDD2E8C4D45157C01C052DC9A67E4640,POINT (478037.21616852994 4981817.656950291)
4521,City Center Retail,N,800 Washington Ave N,Multiple Activities,Aboveground Tanks; Underground Tanks,Tanks,TS0013813,,0101000020E61000009F8B2BD3D45157C01C052DC9A67E4640,POINT (478036.9481477617 4981817.657872061)
4522,Neon Design,N,800 Washington Ave N Ste 210,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000006916,,0101000020E6100000BDD2E8C4D45157C010FB4EDDA67E4640,POINT (478037.2170868345 4981817.923559154)
4523,In House Productions,N,800 Washington Ave N Ste 317,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000027102,,0101000020E6100000BDD2E8C4D45157C004F170F1A67E4640,POINT (478037.21800514 4981818.190168016)
4524,HCMC North Loop Clinic,Y,800 Washington Ave N Ste 190,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000311304,Pharmacies and Drug Stores ; Individual and Family Services,0101000020E6100000809A5AB6D65157C00ADCBA9BA77E4640,POINT (478027.8765814967 4981820.477394797)
4525,815 2nd Street Apartments,Y,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00034976,,0101000020E61000009F93DE37BE5157C045DAC69FA87E4640,POINT (478145.73864176037 4981823.5167019125)
4526,Star Tribune,Y,800 1st St N,Industrial Stormwater,Industrial Stormwater,Stormwater,MNRNE34HC; MNRNE39ZB,,0101000020E610000096AF7037AD5157C0CD3F55E0BF7E4640,POINT (478227.8092463504 4981902.064644546)
4527,815 2nd Street Apartments,Y,901 N 2nd St,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,PB4234; VP29210,,0101000020E6100000CFEDCAD3DE5157C0F0A2AF20CD7E4640,POINT (477989.2713537524 4981947.8065091735)
4528,Periscope Inc,Y,921 Washington Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000005991,Commercial Printing (except Screen and Books),0101000020E61000008DFB45BFEC5157C0E31B0A9FAD7E4640,POINT (477921.92922758136 4981841.227511575)
4529,SR One Thousand Third,Y,1000 3rd St N 1001 3rd Street North,Multiple Activities,"Aboveground Tanks; Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Investigation and Cleanup; Tanks,BF0000305; LS0021229; TS0130767,,0101000020E6100000AA94854C055257C06F69D2F9B27E4640,POINT (477803.86505454127 4981859.789728985)
4530,Transit Team Inc,Y,1154 N 5th St,Multiple Activities,Aboveground Tanks; Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MND985679703; TS0122697,,0101000020E6100000A6796C70475257C0891B0126BA7E4640,POINT (477485.7271727877 4981885.219556794)
4531,Shafer Metal Recycling (VIC),Y,129 Plymouth Ave N,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; CERCLIS Site; RCRA Remediation; Site Assessment; Superfund, State Superfund project",Investigation and Cleanup,BF0000304; MND000685867; SA0007735; SR0000078; VP25590,,0101000020E61000002F6B4173065257C055B33994C27E4640,POINT (477798.5099057646 4981912.7053006925)
4532,Twin Cities International School,Y,277 12th Ave North,Construction Stormwater,Construction Stormwater,Stormwater,C00048781,,0101000020E6100000A452EC681C5257C0E23B31EBC57E4640,POINT (477692.89491807757 4981924.395488258)
4533,Twin Cities International Elementary School,N,277 12th Ave N,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND000275032,Elementary and Secondary Schools,0101000020E61000007E648401155257C04CFA2070C97E4640,POINT (477728.55911501014 4981936.201900879)
